"ajusteCampanha","ativo","categoriaLiberacao","colorLetras","formCelebridade","formSelo","imagem","option","optionSheet","OS materiais","OS type midia"
"acelera","sim","","#d81510","","","//12a3388ae72b3046e48cc88a697af4c7.cdn.bubble.io/f1758224335168x657639157486360500/THUMB_ESQUENTA-2_M.png","Aniversario 1 Milhao Nacional","aniversario1MilhaoNacional","Filme de 15s , Filme de 30s , Spot de Rádio 15s , Spot de Rádio 30s","Tv , Rádio"
"acelera","sim","","#d81510","","","//12a3388ae72b3046e48cc88a697af4c7.cdn.bubble.io/f1758224433749x325785459793999740/THUMB_ESQUENTA-2_M_MG.png","Aniversario 1 Milhao Mg","aniversario1MilhaoMg","Filme de 15s , Filme de 30s , Spot de Rádio 15s , Spot de Rádio 30s","Tv , Rádio"
